,Time,€/kWh
0,2007-01,0.0857
1,2007-02,0.0857
2,2007-03,0.0857
3,2007-04,0.0857
4,2007-05,0.0857
5,2007-06,0.0857
6,2007-07,0.0894
7,2007-08,0.0894
8,2007-09,0.0894
9,2007-10,0.0894
10,2007-11,0.0894
11,2007-12,0.0894
12,2008-01,0.0929
13,2008-02,0.0929
14,2008-03,0.0929
15,2008-04,0.0929
16,2008-05,0.0929
17,2008-06,0.0929
18,2008-07,0.0951
19,2008-08,0.0951
20,2008-09,0.0951
21,2008-10,0.0951
22,2008-11,0.0951
23,2008-12,0.0951
24,2009-01,0.0975
25,2009-02,0.0975
26,2009-03,0.0975
27,2009-04,0.0975
28,2009-05,0.0975
29,2009-06,0.0975
30,2009-07,0.0958
31,2009-08,0.0958
32,2009-09,0.0958
33,2009-10,0.0958
34,2009-11,0.0958
35,2009-12,0.0958
36,2010-01,0.0921
37,2010-02,0.0921
38,2010-03,0.0921
39,2010-04,0.0921
40,2010-05,0.0921
41,2010-06,0.0921
42,2010-07,0.0914
43,2010-08,0.0914
44,2010-09,0.0914
45,2010-10,0.0914
46,2010-11,0.0914
47,2010-12,0.0914
48,2011-01,0.09
49,2011-02,0.09
50,2011-03,0.09
51,2011-04,0.09
52,2011-05,0.09
53,2011-06,0.09
54,2011-07,0.0899
55,2011-08,0.0899
56,2011-09,0.0899
57,2011-10,0.0899
58,2011-11,0.0899
59,2011-12,0.0899
60,2012-01,0.0895
61,2012-02,0.0895
62,2012-03,0.0895
63,2012-04,0.0895
64,2012-05,0.0895
65,2012-06,0.0895
66,2012-07,0.0878
67,2012-08,0.0878
68,2012-09,0.0878
69,2012-10,0.0878
70,2012-11,0.0878
71,2012-12,0.0878
72,2013-01,0.086
73,2013-02,0.086
74,2013-03,0.086
75,2013-04,0.086
76,2013-05,0.086
77,2013-06,0.086
78,2013-07,0.0905
79,2013-08,0.0905
80,2013-09,0.0905
81,2013-10,0.0905
82,2013-11,0.0905
83,2013-12,0.0905
84,2014-01,0.0844
85,2014-02,0.0844
86,2014-03,0.0844
87,2014-04,0.0844
88,2014-05,0.0844
89,2014-06,0.0844
90,2014-07,0.0808
91,2014-08,0.0808
92,2014-09,0.0808
93,2014-10,0.0808
94,2014-11,0.0808
95,2014-12,0.0808
96,2015-01,0.0809
97,2015-02,0.0809
98,2015-03,0.0809
99,2015-04,0.0809
100,2015-05,0.0809
101,2015-06,0.0809
102,2015-07,0.0813
103,2015-08,0.0813
104,2015-09,0.0813
105,2015-10,0.0813
106,2015-11,0.0813
107,2015-12,0.0813
108,2016-01,0.0788
109,2016-02,0.0788
110,2016-03,0.0788
111,2016-04,0.0788
112,2016-05,0.0788
113,2016-06,0.0788
114,2016-07,0.0793
115,2016-08,0.0793
116,2016-09,0.0793
117,2016-10,0.0793
118,2016-11,0.0793
119,2016-12,0.0793
120,2017-01,0.0761
121,2017-02,0.0761
122,2017-03,0.0761
123,2017-04,0.0761
124,2017-05,0.0761
125,2017-06,0.0761
126,2017-07,0.0786
127,2017-08,0.0786
128,2017-09,0.0786
129,2017-10,0.0786
130,2017-11,0.0786
131,2017-12,0.0786
132,2018-01,0.0771
133,2018-02,0.0771
134,2018-03,0.0771
135,2018-04,0.0771
136,2018-05,0.0771
137,2018-06,0.0771
138,2018-07,0.078
139,2018-08,0.078
140,2018-09,0.078
141,2018-10,0.078
142,2018-11,0.078
143,2018-12,0.078
144,2019-01,0.0855
145,2019-02,0.0855
146,2019-03,0.0855
147,2019-04,0.0855
148,2019-05,0.0855
149,2019-06,0.0855
150,2019-07,0.0718
151,2019-08,0.0718
152,2019-09,0.0718
153,2019-10,0.0718
154,2019-11,0.0718
155,2019-12,0.0718
156,2020-01,0.0849
157,2020-02,0.0849
158,2020-03,0.0849
159,2020-04,0.0849
160,2020-05,0.0849
161,2020-06,0.0849
162,2020-07,0.0885
163,2020-08,0.0885
164,2020-09,0.0885
165,2020-10,0.0885
166,2020-11,0.0885
167,2020-12,0.0885
168,2021-01,0.0908
169,2021-02,0.0908
170,2021-03,0.0908
171,2021-04,0.0908
172,2021-05,0.0908
173,2021-06,0.0908
174,2021-07,0.0967
175,2021-08,0.0967
176,2021-09,0.0967
177,2021-10,0.0967
178,2021-11,0.0967
179,2021-12,0.0967
180,2022-01,0.1512
181,2022-02,0.1512
182,2022-03,0.1512
183,2022-04,0.1512
184,2022-05,0.1512
185,2022-06,0.1512
186,2022-07,0.1782
187,2022-08,0.1782
188,2022-09,0.1782
189,2022-10,0.1782
190,2022-11,0.1782
191,2022-12,0.1782
