,Time,€/kWh
0,2007-01,0.1104
1,2007-02,0.1104
2,2007-03,0.1104
3,2007-04,0.1104
4,2007-05,0.1104
5,2007-06,0.1104
6,2007-07,0.1094
7,2007-08,0.1094
8,2007-09,0.1094
9,2007-10,0.1094
10,2007-11,0.1094
11,2007-12,0.1094
12,2008-01,0.1115
13,2008-02,0.1115
14,2008-03,0.1115
15,2008-04,0.1115
16,2008-05,0.1115
17,2008-06,0.1115
18,2008-07,0.1138
19,2008-08,0.1138
20,2008-09,0.1138
21,2008-10,0.1138
22,2008-11,0.1138
23,2008-12,0.1138
24,2009-01,0.1158
25,2009-02,0.1158
26,2009-03,0.1158
27,2009-04,0.1158
28,2009-05,0.1158
29,2009-06,0.1158
30,2009-07,0.1137
31,2009-08,0.1137
32,2009-09,0.1137
33,2009-10,0.1137
34,2009-11,0.1137
35,2009-12,0.1137
36,2010-01,0.1096
37,2010-02,0.1096
38,2010-03,0.1096
39,2010-04,0.1096
40,2010-05,0.1096
41,2010-06,0.1096
42,2010-07,0.1107
43,2010-08,0.1107
44,2010-09,0.1107
45,2010-10,0.1107
46,2010-11,0.1107
47,2010-12,0.1107
48,2011-01,0.1099
49,2011-02,0.1099
50,2011-03,0.1099
51,2011-04,0.1099
52,2011-05,0.1099
53,2011-06,0.1099
54,2011-07,0.11
55,2011-08,0.11
56,2011-09,0.11
57,2011-10,0.11
58,2011-11,0.11
59,2011-12,0.11
60,2012-01,0.1091
61,2012-02,0.1091
62,2012-03,0.1091
63,2012-04,0.1091
64,2012-05,0.1091
65,2012-06,0.1091
66,2012-07,0.1068
67,2012-08,0.1068
68,2012-09,0.1068
69,2012-10,0.1068
70,2012-11,0.1068
71,2012-12,0.1068
72,2013-01,0.1056
73,2013-02,0.1056
74,2013-03,0.1056
75,2013-04,0.1056
76,2013-05,0.1056
77,2013-06,0.1056
78,2013-07,0.1119
79,2013-08,0.1119
80,2013-09,0.1119
81,2013-10,0.1119
82,2013-11,0.1119
83,2013-12,0.1119
84,2014-01,0.1096
85,2014-02,0.1096
86,2014-03,0.1096
87,2014-04,0.1096
88,2014-05,0.1096
89,2014-06,0.1096
90,2014-07,0.1029
91,2014-08,0.1029
92,2014-09,0.1029
93,2014-10,0.1029
94,2014-11,0.1029
95,2014-12,0.1029
96,2015-01,0.1031
97,2015-02,0.1031
98,2015-03,0.1031
99,2015-04,0.1031
100,2015-05,0.1031
101,2015-06,0.1031
102,2015-07,0.1008
103,2015-08,0.1008
104,2015-09,0.1008
105,2015-10,0.1008
106,2015-11,0.1008
107,2015-12,0.1008
108,2016-01,0.0988
109,2016-02,0.0988
110,2016-03,0.0988
111,2016-04,0.0988
112,2016-05,0.0988
113,2016-06,0.0988
114,2016-07,0.0982
115,2016-08,0.0982
116,2016-09,0.0982
117,2016-10,0.0982
118,2016-11,0.0982
119,2016-12,0.0982
120,2017-01,0.0997
121,2017-02,0.0997
122,2017-03,0.0997
123,2017-04,0.0997
124,2017-05,0.0997
125,2017-06,0.0997
126,2017-07,0.0977
127,2017-08,0.0977
128,2017-09,0.0977
129,2017-10,0.0977
130,2017-11,0.0977
131,2017-12,0.0977
132,2018-01,0.0948
133,2018-02,0.0948
134,2018-03,0.0948
135,2018-04,0.0948
136,2018-05,0.0948
137,2018-06,0.0948
138,2018-07,0.0965
139,2018-08,0.0965
140,2018-09,0.0965
141,2018-10,0.0965
142,2018-11,0.0965
143,2018-12,0.0965
144,2019-01,0.1016
145,2019-02,0.1016
146,2019-03,0.1016
147,2019-04,0.1016
148,2019-05,0.1016
149,2019-06,0.1016
150,2019-07,0.0871
151,2019-08,0.0871
152,2019-09,0.0871
153,2019-10,0.0871
154,2019-11,0.0871
155,2019-12,0.0871
156,2020-01,0.0993
157,2020-02,0.0993
158,2020-03,0.0993
159,2020-04,0.0993
160,2020-05,0.0993
161,2020-06,0.0993
162,2020-07,0.1015
163,2020-08,0.1015
164,2020-09,0.1015
165,2020-10,0.1015
166,2020-11,0.1015
167,2020-12,0.1015
168,2021-01,0.1041
169,2021-02,0.1041
170,2021-03,0.1041
171,2021-04,0.1041
172,2021-05,0.1041
173,2021-06,0.1041
174,2021-07,0.1074
175,2021-08,0.1074
176,2021-09,0.1074
177,2021-10,0.1074
178,2021-11,0.1074
179,2021-12,0.1074
180,2022-01,0.158
181,2022-02,0.158
182,2022-03,0.158
183,2022-04,0.158
184,2022-05,0.158
185,2022-06,0.158
186,2022-07,0.1876
187,2022-08,0.1876
188,2022-09,0.1876
189,2022-10,0.1876
190,2022-11,0.1876
191,2022-12,0.1876
