,Time,€/kWh
0,2007-01,0.068
1,2007-02,0.068
2,2007-03,0.068
3,2007-04,0.068
4,2007-05,0.068
5,2007-06,0.068
6,2007-07,0.0722
7,2007-08,0.0722
8,2007-09,0.0722
9,2007-10,0.0722
10,2007-11,0.0722
11,2007-12,0.0722
12,2008-01,0.0776
13,2008-02,0.0776
14,2008-03,0.0776
15,2008-04,0.0776
16,2008-05,0.0776
17,2008-06,0.0776
18,2008-07,0.0755
19,2008-08,0.0755
20,2008-09,0.0755
21,2008-10,0.0755
22,2008-11,0.0755
23,2008-12,0.0755
24,2009-01,0.0779
25,2009-02,0.0779
26,2009-03,0.0779
27,2009-04,0.0779
28,2009-05,0.0779
29,2009-06,0.0779
30,2009-07,0.0739
31,2009-08,0.0739
32,2009-09,0.0739
33,2009-10,0.0739
34,2009-11,0.0739
35,2009-12,0.0739
36,2010-01,0.0661
37,2010-02,0.0661
38,2010-03,0.0661
39,2010-04,0.0661
40,2010-05,0.0661
41,2010-06,0.0661
42,2010-07,0.0711
43,2010-08,0.0711
44,2010-09,0.0711
45,2010-10,0.0711
46,2010-11,0.0711
47,2010-12,0.0711
48,2011-01,0.0716
49,2011-02,0.0716
50,2011-03,0.0716
51,2011-04,0.0716
52,2011-05,0.0716
53,2011-06,0.0716
54,2011-07,0.0732
55,2011-08,0.0732
56,2011-09,0.0732
57,2011-10,0.0732
58,2011-11,0.0732
59,2011-12,0.0732
60,2012-01,0.0653
61,2012-02,0.0653
62,2012-03,0.0653
63,2012-04,0.0653
64,2012-05,0.0653
65,2012-06,0.0653
66,2012-07,0.0642
67,2012-08,0.0642
68,2012-09,0.0642
69,2012-10,0.0642
70,2012-11,0.0642
71,2012-12,0.0642
72,2013-01,0.0636
73,2013-02,0.0636
74,2013-03,0.0636
75,2013-04,0.0636
76,2013-05,0.0636
77,2013-06,0.0636
78,2013-07,0.0621
79,2013-08,0.0621
80,2013-09,0.0621
81,2013-10,0.0621
82,2013-11,0.0621
83,2013-12,0.0621
84,2014-01,0.0586
85,2014-02,0.0586
86,2014-03,0.0586
87,2014-04,0.0586
88,2014-05,0.0586
89,2014-06,0.0586
90,2014-07,0.0608
91,2014-08,0.0608
92,2014-09,0.0608
93,2014-10,0.0608
94,2014-11,0.0608
95,2014-12,0.0608
96,2015-01,0.0568
97,2015-02,0.0568
98,2015-03,0.0568
99,2015-04,0.0568
100,2015-05,0.0568
101,2015-06,0.0568
102,2015-07,0.0541
103,2015-08,0.0541
104,2015-09,0.0541
105,2015-10,0.0541
106,2015-11,0.0541
107,2015-12,0.0541
108,2016-01,0.0449
109,2016-02,0.0449
110,2016-03,0.0449
111,2016-04,0.0449
112,2016-05,0.0449
113,2016-06,0.0449
114,2016-07,0.0409
115,2016-08,0.0409
116,2016-09,0.0409
117,2016-10,0.0409
118,2016-11,0.0409
119,2016-12,0.0409
120,2017-01,0.0455
121,2017-02,0.0455
122,2017-03,0.0455
123,2017-04,0.0455
124,2017-05,0.0455
125,2017-06,0.0455
126,2017-07,0.0434
127,2017-08,0.0434
128,2017-09,0.0434
129,2017-10,0.0434
130,2017-11,0.0434
131,2017-12,0.0434
132,2018-01,0.0457
133,2018-02,0.0457
134,2018-03,0.0457
135,2018-04,0.0457
136,2018-05,0.0457
137,2018-06,0.0457
138,2018-07,0.0479
139,2018-08,0.0479
140,2018-09,0.0479
141,2018-10,0.0479
142,2018-11,0.0479
143,2018-12,0.0479
144,2019-01,0.0545
145,2019-02,0.0545
146,2019-03,0.0545
147,2019-04,0.0545
148,2019-05,0.0545
149,2019-06,0.0545
150,2019-07,0.0448
151,2019-08,0.0448
152,2019-09,0.0448
153,2019-10,0.0448
154,2019-11,0.0448
155,2019-12,0.0448
156,2020-01,0.0434
157,2020-02,0.0434
158,2020-03,0.0434
159,2020-04,0.0434
160,2020-05,0.0434
161,2020-06,0.0434
162,2020-07,0.049
163,2020-08,0.049
164,2020-09,0.049
165,2020-10,0.049
166,2020-11,0.049
167,2020-12,0.049
168,2021-01,0.052
169,2021-02,0.052
170,2021-03,0.052
171,2021-04,0.052
172,2021-05,0.052
173,2021-06,0.052
174,2021-07,0.0732
175,2021-08,0.0732
176,2021-09,0.0732
177,2021-10,0.0732
178,2021-11,0.0732
179,2021-12,0.0732
180,2022-01,0.1215
181,2022-02,0.1215
182,2022-03,0.1215
183,2022-04,0.1215
184,2022-05,0.1215
185,2022-06,0.1215
186,2022-07,0.1728
187,2022-08,0.1728
188,2022-09,0.1728
189,2022-10,0.1728
190,2022-11,0.1728
191,2022-12,0.1728
