,Time,€/kWh
0,2007-01,0.0741
1,2007-02,0.0741
2,2007-03,0.0741
3,2007-04,0.0741
4,2007-05,0.0741
5,2007-06,0.0741
6,2007-07,0.0776
7,2007-08,0.0776
8,2007-09,0.0776
9,2007-10,0.0776
10,2007-11,0.0776
11,2007-12,0.0776
12,2008-01,0.0839
13,2008-02,0.0839
14,2008-03,0.0839
15,2008-04,0.0839
16,2008-05,0.0839
17,2008-06,0.0839
18,2008-07,0.0831
19,2008-08,0.0831
20,2008-09,0.0831
21,2008-10,0.0831
22,2008-11,0.0831
23,2008-12,0.0831
24,2009-01,0.0843
25,2009-02,0.0843
26,2009-03,0.0843
27,2009-04,0.0843
28,2009-05,0.0843
29,2009-06,0.0843
30,2009-07,0.0833
31,2009-08,0.0833
32,2009-09,0.0833
33,2009-10,0.0833
34,2009-11,0.0833
35,2009-12,0.0833
36,2010-01,0.08
37,2010-02,0.08
38,2010-03,0.08
39,2010-04,0.08
40,2010-05,0.08
41,2010-06,0.08
42,2010-07,0.079
43,2010-08,0.079
44,2010-09,0.079
45,2010-10,0.079
46,2010-11,0.079
47,2010-12,0.079
48,2011-01,0.0791
49,2011-02,0.0791
50,2011-03,0.0791
51,2011-04,0.0791
52,2011-05,0.0791
53,2011-06,0.0791
54,2011-07,0.0804
55,2011-08,0.0804
56,2011-09,0.0804
57,2011-10,0.0804
58,2011-11,0.0804
59,2011-12,0.0804
60,2012-01,0.0786
61,2012-02,0.0786
62,2012-03,0.0786
63,2012-04,0.0786
64,2012-05,0.0786
65,2012-06,0.0786
66,2012-07,0.077
67,2012-08,0.077
68,2012-09,0.077
69,2012-10,0.077
70,2012-11,0.077
71,2012-12,0.077
72,2013-01,0.0756
73,2013-02,0.0756
74,2013-03,0.0756
75,2013-04,0.0756
76,2013-05,0.0756
77,2013-06,0.0756
78,2013-07,0.0794
79,2013-08,0.0794
80,2013-09,0.0794
81,2013-10,0.0794
82,2013-11,0.0794
83,2013-12,0.0794
84,2014-01,0.072
85,2014-02,0.072
86,2014-03,0.072
87,2014-04,0.072
88,2014-05,0.072
89,2014-06,0.072
90,2014-07,0.0714
91,2014-08,0.0714
92,2014-09,0.0714
93,2014-10,0.0714
94,2014-11,0.0714
95,2014-12,0.0714
96,2015-01,0.0686
97,2015-02,0.0686
98,2015-03,0.0686
99,2015-04,0.0686
100,2015-05,0.0686
101,2015-06,0.0686
102,2015-07,0.0705
103,2015-08,0.0705
104,2015-09,0.0705
105,2015-10,0.0705
106,2015-11,0.0705
107,2015-12,0.0705
108,2016-01,0.0671
109,2016-02,0.0671
110,2016-03,0.0671
111,2016-04,0.0671
112,2016-05,0.0671
113,2016-06,0.0671
114,2016-07,0.0677
115,2016-08,0.0677
116,2016-09,0.0677
117,2016-10,0.0677
118,2016-11,0.0677
119,2016-12,0.0677
120,2017-01,0.0628
121,2017-02,0.0628
122,2017-03,0.0628
123,2017-04,0.0628
124,2017-05,0.0628
125,2017-06,0.0628
126,2017-07,0.0645
127,2017-08,0.0645
128,2017-09,0.0645
129,2017-10,0.0645
130,2017-11,0.0645
131,2017-12,0.0645
132,2018-01,0.0621
133,2018-02,0.0621
134,2018-03,0.0621
135,2018-04,0.0621
136,2018-05,0.0621
137,2018-06,0.0621
138,2018-07,0.065
139,2018-08,0.065
140,2018-09,0.065
141,2018-10,0.065
142,2018-11,0.065
143,2018-12,0.065
144,2019-01,0.0717
145,2019-02,0.0717
146,2019-03,0.0717
147,2019-04,0.0717
148,2019-05,0.0717
149,2019-06,0.0717
150,2019-07,0.0623
151,2019-08,0.0623
152,2019-09,0.0623
153,2019-10,0.0623
154,2019-11,0.0623
155,2019-12,0.0623
156,2020-01,0.0706
157,2020-02,0.0706
158,2020-03,0.0706
159,2020-04,0.0706
160,2020-05,0.0706
161,2020-06,0.0706
162,2020-07,0.0731
163,2020-08,0.0731
164,2020-09,0.0731
165,2020-10,0.0731
166,2020-11,0.0731
167,2020-12,0.0731
168,2021-01,0.0734
169,2021-02,0.0734
170,2021-03,0.0734
171,2021-04,0.0734
172,2021-05,0.0734
173,2021-06,0.0734
174,2021-07,0.0897
175,2021-08,0.0897
176,2021-09,0.0897
177,2021-10,0.0897
178,2021-11,0.0897
179,2021-12,0.0897
180,2022-01,0.144
181,2022-02,0.144
182,2022-03,0.144
183,2022-04,0.144
184,2022-05,0.144
185,2022-06,0.144
186,2022-07,0.173
187,2022-08,0.173
188,2022-09,0.173
189,2022-10,0.173
190,2022-11,0.173
191,2022-12,0.173
