,Time,Air_Temperature (°C)
287,2019-12,3.75
288,2020-01,3.48
289,2020-02,5.29
290,2020-03,5.27
291,2020-04,10.35
292,2020-05,11.91
293,2020-06,16.89
294,2020-07,17.69
295,2020-08,19.95
296,2020-09,14.82
297,2020-10,10.21
298,2020-11,6.18
299,2020-12,3.08
300,2021-01,0.63
301,2021-02,1.71
302,2021-03,4.77
303,2021-04,6.02
304,2021-05,10.72
305,2021-06,18.98
306,2021-07,18.37
307,2021-08,16.4
308,2021-09,15.16
309,2021-10,9.63
310,2021-11,4.9
311,2021-12,2.58
312,2022-01,2.79
313,2022-02,4.47
314,2022-03,5.09
315,2022-04,7.75
316,2022-05,14.44
317,2022-06,18.33
318,2022-07,19.13
319,2022-08,20.23
320,2022-09,13.37
321,2022-10,12.52
322,2022-11,6.35
323,2022-12,1.8
324,2023-01,3.62
325,2023-02,3.21
326,2023-03,5.74
327,2023-04,7.53
328,2023-05,13.08
329,2023-06,18.56
330,2023-07,18.72
