,Time,Air_Temperature
115,1996-11,4.48
116,1997-11,3.98
117,1998-11,1.55
118,1999-11,3.46
119,2000-11,6.1
120,2001-11,3.82
121,2002-11,5.55
122,2003-11,6.02
123,2004-11,4.21
124,2005-11,4.17
125,2006-11,7.03
126,2007-11,3.67
127,2008-11,5.06
128,2009-11,7.38
129,2010-11,4.76
130,2011-11,4.5
131,2012-11,5.2
132,2013-11,4.63
133,2014-11,6.47
134,2015-11,7.51
135,2016-11,3.83
136,2017-11,5.11
137,2018-11,5.21
138,2019-11,5.22
139,2020-11,6.18
140,2021-11,4.9
141,2022-11,6.35
