,TIME,Air_Temperature
115,1996-10,9.17
116,1997-10,7.66
117,1998-10,8.7
118,1999-10,8.99
119,2000-10,10.56
120,2001-10,12.48
121,2002-10,8.29
122,2003-10,5.94
123,2004-10,10.08
124,2005-10,10.99
125,2006-10,12.14
126,2007-10,8.35
127,2008-10,9.09
128,2009-10,8.17
129,2010-10,8.13
130,2011-10,9.39
131,2012-10,8.72
132,2013-10,10.64
133,2014-10,11.88
134,2015-10,8.38
135,2016-10,8.49
136,2017-10,11.14
137,2018-10,10.72
138,2019-10,10.81
139,2020-10,10.21
140,2021-10,9.63
141,2022-10,12.52
