,TIME,Air_Temperature
115,1996-12,-2.36
116,1997-12,2.2
117,1998-12,0.99
118,1999-12,2.17
119,2000-12,3.12
120,2001-12,-0.21
121,2002-12,0.34
122,2003-12,1.81
123,2004-12,1.08
124,2005-12,0.87
125,2006-12,4.43
126,2007-12,1.59
127,2008-12,1.06
128,2009-12,0.32
129,2010-12,-3.66
130,2011-12,3.9
131,2012-12,1.49
132,2013-12,3.56
133,2014-12,2.73
134,2015-12,6.49
135,2016-12,2.16
136,2017-12,2.71
137,2018-12,3.9
138,2019-12,3.75
139,2020-12,3.08
140,2021-12,2.58
141,2022-12,1.8
