,Time,Exchange_rate ($/€)
267,2018-04,1.2276
268,2018-05,1.1812
269,2018-06,1.1678
270,2018-07,1.1686
271,2018-08,1.1549
272,2018-09,1.1659
273,2018-10,1.1484
274,2018-11,1.1367
275,2018-12,1.1384
276,2019-01,1.1416
277,2019-02,1.1351
278,2019-03,1.1302
279,2019-04,1.1238
280,2019-05,1.1185
281,2019-06,1.1293
282,2019-07,1.1218
283,2019-08,1.1126
284,2019-09,1.1004
285,2019-10,1.1053
286,2019-11,1.1051
287,2019-12,1.1113
288,2020-01,1.11
289,2020-02,1.0905
290,2020-03,1.1063
291,2020-04,1.0862
292,2020-05,1.0902
293,2020-06,1.1255
294,2020-07,1.1463
295,2020-08,1.1828
296,2020-09,1.1792
297,2020-10,1.1775
298,2020-11,1.1838
299,2020-12,1.217
300,2021-01,1.2171
301,2021-02,1.2098
302,2021-03,1.1899
303,2021-04,1.1979
304,2021-05,1.2146
305,2021-06,1.2047
306,2021-07,1.1822
307,2021-08,1.1772
308,2021-09,1.177
309,2021-10,1.1601
310,2021-11,1.1414
311,2021-12,1.1304
312,2022-01,1.1314
313,2022-02,1.1342
314,2022-03,1.1019
315,2022-04,1.0819
316,2022-05,1.0579
317,2022-06,1.0566
318,2022-07,1.0179
319,2022-08,1.0128
320,2022-09,0.9904
321,2022-10,0.9826
322,2022-11,1.0201
323,2022-12,1.0589
324,2023-01,1.0769
325,2023-02,1.0715
326,2023-03,1.0706
327,2023-04,1.0968
328,2023-05,1.0868
329,2023-06,1.084
330,2023-07,1.1058
